entry,value
player_id,296
web_name,Matic
team,Man Utd
first_name,Nemanja
second_name,Matic
cost_end,5.0
value_form,0.2
value_season,11.8
cost_change_start,0.0
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.7
total_points,59
ppg,2.1
minutes,2437
goals_scored,1
assists,0
clean_sheets,6
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,1
saves,0
bonus,2
bps,371
influence,477.6
creativity,247.9
threat,183.0
ict_index,90.9
ea_index,0
position,Midfielder
