entry,value
player_id,210
web_name,Depoitre
team,Liverpool
first_name,Laurent
second_name,Depoitre
cost_end,5.1
value_form,0.0
value_season,6.7
cost_change_start,-4
cost_start,9.1
dreamteam_count,0
selected_by_percent,0.3
total_points,34
ppg,1.5
minutes,1058
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,40
influence,51.6
creativity,124.3
threat,381.0
ict_index,54.8
ea_index,0
position,Forward
