entry,value
player_id,76
web_name,Gudmundsson
team,Burnley
first_name,Johann Berg
second_name,Gudmundsson
cost_end,5.5
value_form,0.3
value_season,16.7
cost_change_start,-0.5
cost_start,6.0
dreamteam_count,1
selected_by_percent,1.0
total_points,92
ppg,3.2
minutes,1743
goals_scored,3
assists,7
clean_sheets,5
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,6
bps,339
influence,456.2
creativity,574.1
threat,380.0
ict_index,141.1
ea_index,0
position,Midfielder
