entry,value
player_id,481
web_name,Pereira
team,Southampton
first_name,Andreas
second_name,Pereira
cost_end,4.5
value_form,0.1
value_season,6.0
cost_change_start,-5
cost_start,9.5
dreamteam_count,1
selected_by_percent,0.3
total_points,27
ppg,1.8
minutes,590
goals_scored,1
assists,1
clean_sheets,1
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,2
bps,115
influence,132.8
creativity,139.5
threat,67.0
ict_index,33.8
ea_index,0
position,Midfielder
