entry,value
player_id,526
web_name,Zouma
team,Huddersfield
first_name,Kurt
second_name,Zouma
cost_end,5.0
value_form,1.0
value_season,22.4
cost_change_start,0
cost_start,5.0
dreamteam_count,2
selected_by_percent,1.0
total_points,112
ppg,3.5
minutes,2613
goals_scored,2
assists,2
clean_sheets,10
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,12
bps,543
influence,565.2
creativity,83.7
threat,235.0
ict_index,88.8
ea_index,0
position,Defender
