entry,value
player_id,199
web_name,Mooy
team,Huddersfield
first_name,Aaron
second_name,Mooy
cost_end,5.0
value_form,0.3
value_season,15.2
cost_change_start,-0.5
cost_start,5.5
dreamteam_count,1
selected_by_percent,1.0
total_points,76
ppg,2.6
minutes,2326
goals_scored,3
assists,1
clean_sheets,3
goals_conceded,48
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,5
bps,411
influence,510.8
creativity,725.2
threat,359.0
ict_index,159.7
ea_index,0
position,Midfielder
