entry,value
player_id,492
web_name,Ghezzal
team,Man City
first_name,Rachid
second_name,Ghezzal
cost_end,5.0
value_form,0.0
value_season,5.6
cost_change_start,-5
cost_start,10.0
dreamteam_count,0
selected_by_percent,0.1
total_points,28
ppg,1.5
minutes,733
goals_scored,1
assists,0
clean_sheets,1
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,2
bps,112
influence,147.8
creativity,307.0
threat,228.0
ict_index,68.3
ea_index,0
position,Midfielder
