entry,value
player_id,226
web_name,Amartey
team,Man City
first_name,Daniel
second_name,Amartey
cost_end,4.3
value_form,0.0
value_season,3.5
cost_change_start,-2
cost_start,6.3
dreamteam_count,0
selected_by_percent,0.2
total_points,15
ppg,1.7
minutes,639
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,103
influence,139.0
creativity,46.7
threat,21.0
ict_index,20.8
ea_index,0
position,Midfielder
