entry,value
player_id,593
web_name,Nordtveit
team,Leicester
first_name,Håvard
second_name,Nordtveit
cost_end,4.5
value_form,0.0
value_season,1.8
cost_change_start,0
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.0
total_points,8
ppg,1.6
minutes,361
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,70
influence,93.0
creativity,31.4
threat,0.0
ict_index,12.4
ea_index,0
position,Defender
