entry,value
player_id,254
web_name,Milner
team,Man Utd
first_name,James
second_name,Milner
cost_end,5.6
value_form,0.1
value_season,18.0
cost_change_start,1
cost_start,4.6
dreamteam_count,1
selected_by_percent,2.5
total_points,101
ppg,3.3
minutes,1778
goals_scored,5
assists,5
clean_sheets,9
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,1
saves,0
bonus,12
bps,448
influence,587.2
creativity,725.2
threat,374.0
ict_index,169.2
ea_index,0
position,Midfielder
