entry,value
player_id,194
web_name,Smith
team,Huddersfield
first_name,Tommy
second_name,Smith
cost_end,4.4
value_form,0.2
value_season,2.0
cost_change_start,-0.1
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.1
total_points,9
ppg,0.6
minutes,1141
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,1
saves,0
bonus,0
bps,141
influence,161.4
creativity,116.2
threat,36.0
ict_index,31.5
ea_index,0
position,Defender
