entry,value
player_id,120
web_name,Zappacosta
team,Crystal Palace
first_name,Davide
second_name,Zappacosta
cost_end,5.0
value_form,0.3
value_season,1.8
cost_change_start,-5
cost_start,10.0
dreamteam_count,0
selected_by_percent,0.1
total_points,9
ppg,2.3
minutes,125
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,30
influence,17.4
creativity,14.7
threat,29.0
ict_index,6.1
ea_index,0
position,Defender
