entry,value
player_id,483
web_name,Jonny
team,West Brom
first_name,Jonathan
second_name,Castro Otto
cost_end,4.3
value_form,1.2
value_season,24.0
cost_change_start,-2
cost_start,6.3
dreamteam_count,2
selected_by_percent,3.6
total_points,103
ppg,3.1
minutes,2772
goals_scored,1
assists,3
clean_sheets,8
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,9
bps,488
influence,523.4
creativity,447.3
threat,361.0
ict_index,133.3
ea_index,0
position,Defender
