entry,value
player_id,164
web_name,Walcott
team,Everton
first_name,Theo
second_name,Walcott
cost_end,5.9
value_form,0.5
value_season,17.1
cost_change_start,-0.6
cost_start,6.5
dreamteam_count,1
selected_by_percent,2.5
total_points,101
ppg,2.7
minutes,2108
goals_scored,5
assists,3
clean_sheets,6
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,4
bps,292
influence,420.0
creativity,342.9
threat,699.0
ict_index,145.7
ea_index,0
position,Midfielder
