entry,value
player_id,476
web_name,Jahanbakhsh
team,Brighton
first_name,Alireza
second_name,Jahanbakhsh
cost_end,6.7
value_form,0.2
value_season,4.9
cost_change_start,-3
cost_start,9.7
dreamteam_count,0
selected_by_percent,0.6
total_points,33
ppg,1.7
minutes,1014
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,61
influence,94.4
creativity,104.0
threat,162.0
ict_index,35.5
ea_index,0
position,Midfielder
