entry,value
player_id,378
web_name,Holebas
team,Watford
first_name,José
second_name,Holebas
cost_end,4.8
value_form,-0.2
value_season,19.4
cost_change_start,0.3
cost_start,4.5
dreamteam_count,2
selected_by_percent,7.9
total_points,93
ppg,3.3
minutes,2392
goals_scored,3
assists,7
clean_sheets,5
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,12
red_cards,1
saves,0
bonus,10
bps,437
influence,642.4
creativity,598.2
threat,164.0
ict_index,140.6
ea_index,0
position,Defender
