entry,value
player_id,8
web_name,Kolasinac
team,Arsenal
first_name,Sead
second_name,Kolasinac
cost_end,4.9
value_form,0.2
value_season,16.5
cost_change_start,-0.1
cost_start,5.0
dreamteam_count,1
selected_by_percent,5.4
total_points,81
ppg,3.4
minutes,1886
goals_scored,0
assists,7
clean_sheets,5
goals_conceded,29
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,10
bps,382
influence,323.2
creativity,445.9
threat,242.0
ict_index,101.0
ea_index,0
position,Defender
