entry,value
player_id,172
web_name,Sigurdsson
team,Huddersfield
first_name,Gylfi
second_name,Sigurdsson
cost_end,7.4
value_form,0.5
value_season,24.6
cost_change_start,-1
cost_start,8.4
dreamteam_count,3
selected_by_percent,8.3
total_points,182
ppg,4.8
minutes,3122
goals_scored,13
assists,6
clean_sheets,15
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,3
yellow_cards,3
red_cards,0
saves,0
bonus,20
bps,662
influence,959.8
creativity,1098.5
threat,1084.0
ict_index,314.2
ea_index,0
position,Midfielder
