entry,value
player_id,456
web_name,Seri
team,Leicester
first_name,Jean Michael
second_name,Seri
cost_end,4.9
value_form,0.0
value_season,14.7
cost_change_start,-6
cost_start,10.9
dreamteam_count,1
selected_by_percent,1.3
total_points,72
ppg,2.3
minutes,2239
goals_scored,1
assists,3
clean_sheets,3
goals_conceded,54
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,6
bps,422
influence,460.2
creativity,849.4
threat,164.0
ict_index,147.5
ea_index,0
position,Midfielder
