entry,value
player_id,408
web_name,Fredericks
team,West Ham
first_name,Ryan
second_name,Fredericks
cost_end,4.5
value_form,1.5
value_season,8.4
cost_change_start,-0.5
cost_start,5.0
dreamteam_count,2
selected_by_percent,0.3
total_points,38
ppg,2.5
minutes,1084
goals_scored,1
assists,0
clean_sheets,3
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,4
bps,169
influence,254.8
creativity,77.2
threat,85.0
ict_index,42.0
ea_index,0
position,Defender
