,team_h_score,team_a_score,was_home,opponent_team
1,2,2,True,Everton
2,2,0,False,Leicester
3,1,1,True,Man City
4,0,1,False,West Ham
5,1,0,True,Burnley
6,1,1,False,Man Utd
7,2,0,True,Southampton
8,0,1,False,Crystal Palace
9,0,2,True,Watford
10,1,0,False,Brighton
11,2,3,True,Spurs
12,1,1,False,Arsenal
13,0,2,True,Huddersfield
14,2,1,False,Cardiff
15,2,1,True,Chelsea
16,1,2,False,Newcastle
17,2,0,True,Bournemouth
18,0,2,True,Liverpool
19,1,1,False,Fulham
20,1,3,False,Spurs
21,0,2,True,Crystal Palace
22,3,0,False,Man City
23,4,3,True,Leicester
24,3,0,True,West Ham
25,1,3,False,Everton
26,1,1,True,Newcastle
27,1,1,False,Bournemouth
28,1,0,False,Huddersfield
29,2,0,True,Cardiff
30,1,1,False,Chelsea
31,2,0,False,Burnley
32,2,1,True,Man Utd
33,3,1,False,Southampton
34,0,0,True,Brighton
35,3,1,True,Arsenal
36,1,2,False,Watford
37,1,0,True,Fulham
38,2,0,False,Liverpool
