entry,value
player_id,462
web_name,Shaqiri
team,Man Utd
first_name,Xherdan
second_name,Shaqiri
cost_end,6.8
value_form,0.3
value_season,12.9
cost_change_start,-7
cost_start,13.8
dreamteam_count,1
selected_by_percent,2.1
total_points,88
ppg,3.7
minutes,1052
goals_scored,6
assists,5
clean_sheets,7
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,4
bps,302
influence,363.6
creativity,344.7
threat,282.0
ict_index,99.1
ea_index,0
position,Midfielder
