entry,value
player_id,326
web_name,Pérez
team,Stoke
first_name,Ayoze
second_name,Pérez
cost_end,6.1
value_form,0.9
value_season,23.1
cost_change_start,-4
cost_start,10.1
dreamteam_count,2
selected_by_percent,3.4
total_points,141
ppg,3.8
minutes,2916
goals_scored,12
assists,2
clean_sheets,11
goals_conceded,35
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,19
bps,541
influence,783.6
creativity,585.6
threat,954.0
ict_index,232.1
ea_index,0
position,Forward
