entry,value
player_id,236
web_name,Iheanacho
team,Leicester
first_name,Kelechi
second_name,Iheanacho
cost_end,5.7
value_form,0.0
value_season,10.2
cost_change_start,-0.3
cost_start,6.0
dreamteam_count,1
selected_by_percent,0.8
total_points,58
ppg,1.9
minutes,924
goals_scored,1
assists,5
clean_sheets,1
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,160
influence,135.8
creativity,209.4
threat,230.0
ict_index,56.9
ea_index,0
position,Forward
