entry,value
player_id,60
web_name,Pröpper
team,Brighton
first_name,Davy
second_name,Pröpper
cost_end,4.8
value_form,0.0
value_season,15.0
cost_change_start,-2
cost_start,6.8
dreamteam_count,0
selected_by_percent,0.2
total_points,72
ppg,2.4
minutes,2546
goals_scored,1
assists,1
clean_sheets,4
goals_conceded,45
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,351
influence,389.2
creativity,279.1
threat,121.0
ict_index,79.2
ea_index,0
position,Midfielder
