entry,value
player_id,327
web_name,Joselu
team,Newcastle
first_name,Jose Luis
second_name,Mato Sanmartín
cost_end,4.7
value_form,0.0
value_season,6.4
cost_change_start,-0.3
cost_start,5.0
dreamteam_count,0
selected_by_percent,2.1
total_points,30
ppg,1.9
minutes,586
goals_scored,2
assists,0
clean_sheets,1
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,89
influence,121.4
creativity,35.9
threat,290.0
ict_index,44.6
ea_index,0
position,Forward
