entry,value
player_id,118
web_name,Rüdiger
team,Chelsea
first_name,Antonio
second_name,Rüdiger
cost_end,5.9
value_form,0.2
value_season,19.7
cost_change_start,-0.1
cost_start,6.0
dreamteam_count,2
selected_by_percent,2.9
total_points,116
ppg,3.5
minutes,2871
goals_scored,1
assists,2
clean_sheets,12
goals_conceded,35
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,9
bps,609
influence,566.8
creativity,143.6
threat,273.0
ict_index,98.5
ea_index,0
position,Defender
