entry,value
player_id,351
web_name,Lloris
team,Spurs
first_name,Hugo
second_name,Lloris
cost_end,5.4
value_form,0.7
value_season,26.9
cost_change_start,-0.1
cost_start,5.5
dreamteam_count,2
selected_by_percent,6.2
total_points,145
ppg,4.4
minutes,2970
goals_scored,0
assists,0
clean_sheets,12
goals_conceded,33
own_goals,0
penalties_saved,2
penalties_missed,0
yellow_cards,0
red_cards,0
saves,100
bonus,10
bps,691
influence,858.2
creativity,0.0
threat,0.0
ict_index,86.0
ea_index,0
position,Goalkeeper
