entry,value
player_id,233
web_name,Maddison
team,Man City
first_name,James
second_name,Maddison
cost_end,6.6
value_form,0.6
value_season,20.8
cost_change_start,1
cost_start,5.6
dreamteam_count,1
selected_by_percent,5.2
total_points,137
ppg,3.8
minutes,2831
goals_scored,7
assists,7
clean_sheets,8
goals_conceded,44
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,3
red_cards,1
saves,0
bonus,12
bps,619
influence,801.4
creativity,1515.0
threat,769.0
ict_index,308.4
ea_index,0
position,Midfielder
