entry,value
player_id,202
web_name,Billing
team,Liverpool
first_name,Philip
second_name,Billing
cost_end,4.5
value_form,0.0
value_season,14.0
cost_change_start,0
cost_start,4.5
dreamteam_count,0
selected_by_percent,1.0
total_points,63
ppg,2.3
minutes,2187
goals_scored,2
assists,0
clean_sheets,5
goals_conceded,43
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,4
bps,317
influence,494.6
creativity,341.0
threat,375.0
ict_index,121.3
ea_index,0
position,Midfielder
