entry,value
player_id,44
web_name,Mousset
team,Bournemouth
first_name,Lys
second_name,Mousset
cost_end,4.9
value_form,0.1
value_season,5.7
cost_change_start,-0.1
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.2
total_points,28
ppg,1.2
minutes,350
goals_scored,1
assists,0
clean_sheets,0
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,74
influence,74.6
creativity,65.1
threat,201.0
ict_index,33.8
ea_index,0
position,Forward
