entry,value
player_id,464
web_name,Balbuena
team,West Brom
first_name,Fabián
second_name,Balbuena
cost_end,4.2
value_form,1.1
value_season,14.5
cost_change_start,-3
cost_start,7.2
dreamteam_count,1
selected_by_percent,0.3
total_points,61
ppg,2.7
minutes,2013
goals_scored,1
assists,0
clean_sheets,5
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,375
influence,534.6
creativity,40.9
threat,201.0
ict_index,77.8
ea_index,0
position,Defender
