entry,value
player_id,161
web_name,Kenny
team,Huddersfield
first_name,Jonjoe
second_name,Kenny
cost_end,4.1
value_form,0.0
value_season,4.6
cost_change_start,-4
cost_start,8.1
dreamteam_count,0
selected_by_percent,0.2
total_points,19
ppg,1.9
minutes,789
goals_scored,0
assists,1
clean_sheets,1
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,134
influence,166.2
creativity,102.7
threat,12.0
ict_index,28.0
ea_index,0
position,Defender
