entry,value
player_id,135
web_name,Hennessey
team,Everton
first_name,Wayne
second_name,Hennessey
cost_end,4.4
value_form,0.0
value_season,15.2
cost_change_start,-1
cost_start,5.4
dreamteam_count,1
selected_by_percent,2.4
total_points,67
ppg,3.7
minutes,1575
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,26
own_goals,0
penalties_saved,1
penalties_missed,0
yellow_cards,0
red_cards,0
saves,44
bonus,6
bps,311
influence,358.8
creativity,0.0
threat,0.0
ict_index,35.9
ea_index,0
position,Goalkeeper
