entry,value
player_id,313
web_name,Dummett
team,Newcastle
first_name,Paul
second_name,Dummett
cost_end,4.4
value_form,0.6
value_season,15.2
cost_change_start,-0.1
cost_start,4.5
dreamteam_count,1
selected_by_percent,0.2
total_points,67
ppg,2.6
minutes,1986
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,365
influence,424.2
creativity,94.0
threat,58.0
ict_index,57.6
ea_index,0
position,Defender
