entry,value
player_id,315
web_name,Manquillo
team,Newcastle
first_name,Javier
second_name,Manquillo
cost_end,4.3
value_form,0.5
value_season,12.3
cost_change_start,-0.2
cost_start,4.5
dreamteam_count,1
selected_by_percent,0.3
total_points,53
ppg,2.9
minutes,1098
goals_scored,0
assists,3
clean_sheets,4
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,231
influence,231.0
creativity,127.3
threat,28.0
ict_index,38.8
ea_index,0
position,Defender
