entry,value
player_id,83
web_name,Lennon
team,Burnley
first_name,Aaron
second_name,Lennon
cost_end,4.9
value_form,0.0
value_season,8.4
cost_change_start,-1
cost_start,5.9
dreamteam_count,1
selected_by_percent,0.3
total_points,41
ppg,2.6
minutes,1214
goals_scored,1
assists,1
clean_sheets,3
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,2
bps,133
influence,151.6
creativity,121.2
threat,108.0
ict_index,38.0
ea_index,0
position,Midfielder
