entry,value
player_id,516
web_name,Fernández
team,Newcastle
first_name,Federico
second_name,Fernández
cost_end,4.4
value_form,0.2
value_season,10.7
cost_change_start,-0.1
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.2
total_points,47
ppg,2.5
minutes,1482
goals_scored,0
assists,2
clean_sheets,3
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,277
influence,350.0
creativity,63.7
threat,70.0
ict_index,48.5
ea_index,0
position,Defender
