entry,value
player_id,463
web_name,Vestergaard
team,Southampton
first_name,Jannik
second_name,Vestergaard
cost_end,4.6
value_form,0.0
value_season,10.9
cost_change_start,-0.4
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.2
total_points,50
ppg,2.2
minutes,2027
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,396
influence,576.6
creativity,76.6
threat,104.0
ict_index,75.9
ea_index,0
position,Defender
