entry,value
player_id,55
web_name,Knockaert
team,Brighton
first_name,Anthony
second_name,Knockaert
cost_end,5.2
value_form,0.2
value_season,14.2
cost_change_start,-3
cost_start,8.2
dreamteam_count,0
selected_by_percent,0.5
total_points,74
ppg,2.5
minutes,1828
goals_scored,2
assists,6
clean_sheets,3
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,1
saves,0
bonus,2
bps,293
influence,389.6
creativity,580.8
threat,345.0
ict_index,131.4
ea_index,0
position,Midfielder
