entry,value
player_id,318
web_name,Shelvey
team,Newcastle
first_name,Jonjo
second_name,Shelvey
cost_end,5.3
value_form,0.8
value_season,7.4
cost_change_start,-0.2
cost_start,5.5
dreamteam_count,0
selected_by_percent,0.3
total_points,39
ppg,2.4
minutes,943
goals_scored,1
assists,1
clean_sheets,5
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,2
bps,170
influence,226.2
creativity,351.7
threat,154.0
ict_index,73.2
ea_index,0
position,Midfielder
