entry,value
player_id,393
web_name,Richarlison
team,Huddersfield
first_name,Richarlison
second_name,de Andrade
cost_end,6.4
value_form,0.4
value_season,23.9
cost_change_start,-1
cost_start,7.4
dreamteam_count,2
selected_by_percent,13.3
total_points,153
ppg,4.4
minutes,2662
goals_scored,13
assists,3
clean_sheets,11
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,1
saves,0
bonus,12
bps,400
influence,698.4
creativity,350.7
threat,1209.0
ict_index,224.5
ea_index,0
position,Midfielder
