entry,value
player_id,17
web_name,Xhaka
team,Arsenal
first_name,Granit
second_name,Xhaka
cost_end,5.2
value_form,0.3
value_season,17.3
cost_change_start,-0.3
cost_start,5.5
dreamteam_count,1
selected_by_percent,2.3
total_points,90
ppg,3.1
minutes,2498
goals_scored,4
assists,3
clean_sheets,7
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,10
red_cards,0
saves,0
bonus,8
bps,452
influence,634.6
creativity,674.0
threat,215.0
ict_index,152.6
ea_index,0
position,Midfielder
