entry,value
player_id,11
web_name,Lichtsteiner
team,Arsenal
first_name,Stephan
second_name,Lichtsteiner
cost_end,4.5
value_form,0.2
value_season,3.1
cost_change_start,-0.5
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.8
total_points,14
ppg,1.0
minutes,935
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,18
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,89
influence,113.0
creativity,61.1
threat,23.0
ict_index,20.0
ea_index,0
position,Defender
