,was_home,opponent_team,team_score,opponent_score
1,False,Wolves,2,2
2,True,Southampton,2,1
3,False,Bournemouth,2,2
4,True,Huddersfield,1,1
5,True,West Ham,1,3
6,False,Arsenal,0,2
7,True,Fulham,3,0
8,False,Leicester,2,1
9,True,Crystal Palace,2,0
10,False,Man Utd,1,2
11,True,Brighton,3,1
12,False,Chelsea,0,0
13,True,Cardiff,1,0
14,False,Liverpool,0,1
15,True,Newcastle,1,1
16,True,Watford,2,2
17,False,Man City,1,3
18,True,Spurs,2,6
19,False,Burnley,5,1
20,False,Brighton,0,1
21,True,Leicester,0,1
22,True,Bournemouth,2,0
23,False,Southampton,1,2
24,False,Huddersfield,1,0
25,True,Wolves,1,3
26,True,Man City,0,2
27,False,Watford,0,1
28,False,Cardiff,3,0
29,True,Liverpool,0,0
30,False,Newcastle,2,3
31,True,Chelsea,2,0
32,False,West Ham,2,0
33,True,Arsenal,1,0
34,False,Fulham,0,2
35,True,Man Utd,4,0
36,False,Crystal Palace,0,0
37,True,Burnley,2,0
38,False,Spurs,2,2
