entry,value
player_id,7
web_name,Mustafi
team,Arsenal
first_name,Shkodran
second_name,Mustafi
cost_end,5.4
value_form,0.2
value_season,14.8
cost_change_start,-0.1
cost_start,5.5
dreamteam_count,0
selected_by_percent,1.3
total_points,80
ppg,2.6
minutes,2611
goals_scored,2
assists,0
clean_sheets,6
goals_conceded,40
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,9
red_cards,0
saves,0
bonus,5
bps,475
influence,718.6
creativity,106.0
threat,252.0
ict_index,107.8
ea_index,0
position,Defender
