entry,value
player_id,493
web_name,Rondón
team,Stoke
first_name,Salomón
second_name,Rondón
cost_end,5.9
value_form,1.2
value_season,25.1
cost_change_start,-1
cost_start,6.9
dreamteam_count,3
selected_by_percent,7.7
total_points,148
ppg,4.6
minutes,2601
goals_scored,11
assists,8
clean_sheets,9
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,20
bps,466
influence,645.6
creativity,468.0
threat,1249.0
ict_index,236.0
ea_index,0
position,Forward
