entry,value
player_id,121
web_name,Emerson
team,Chelsea
first_name,Emerson
second_name,Palmieri dos Santos
cost_end,5.2
value_form,0.1
value_season,4.2
cost_change_start,-0.3
cost_start,5.5
dreamteam_count,0
selected_by_percent,0.2
total_points,22
ppg,2.2
minutes,660
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,1
bps,130
influence,104.6
creativity,113.8
threat,81.0
ict_index,30.0
ea_index,0
position,Defender
