entry,value
player_id,175
web_name,Calvert-Lewin
team,Huddersfield
first_name,Dominic
second_name,Calvert-Lewin
cost_end,5.4
value_form,0.2
value_season,17.0
cost_change_start,-1
cost_start,6.4
dreamteam_count,0
selected_by_percent,1.9
total_points,92
ppg,2.6
minutes,1769
goals_scored,6
assists,5
clean_sheets,8
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,267
influence,321.8
creativity,185.7
threat,618.0
ict_index,111.5
ea_index,0
position,Forward
