entry,value
player_id,282
web_name,de Gea
team,Southampton
first_name,David
second_name,de Gea
cost_end,5.7
value_form,0.3
value_season,21.1
cost_change_start,-3
cost_start,8.7
dreamteam_count,2
selected_by_percent,16.2
total_points,120
ppg,3.2
minutes,3420
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,54
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,123
bonus,7
bps,636
influence,846.0
creativity,0.0
threat,0.0
ict_index,84.5
ea_index,0
position,Goalkeeper
