entry,value
player_id,284
web_name,Smalling
team,Man Utd
first_name,Chris
second_name,Smalling
cost_end,5.6
value_form,0.1
value_season,10.0
cost_change_start,-0.4
cost_start,6.0
dreamteam_count,1
selected_by_percent,1.4
total_points,56
ppg,2.3
minutes,2127
goals_scored,1
assists,0
clean_sheets,4
goals_conceded,36
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,335
influence,453.4
creativity,31.0
threat,176.0
ict_index,66.0
ea_index,0
position,Defender
