entry,value
player_id,101
web_name,Paterson
team,Cardiff
first_name,Callum
second_name,Paterson
cost_end,4.8
value_form,0.0
value_season,16.7
cost_change_start,-0.7
cost_start,5.5
dreamteam_count,1
selected_by_percent,0.3
total_points,80
ppg,3.0
minutes,1993
goals_scored,4
assists,2
clean_sheets,5
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,4
bps,227
influence,266.8
creativity,311.9
threat,541.0
ict_index,111.7
ea_index,0
position,Midfielder
