entry,value
player_id,273
web_name,De Bruyne
team,Man City
first_name,Kevin
second_name,De Bruyne
cost_end,9.6
value_form,0.0
value_season,6.1
cost_change_start,-0.4
cost_start,10.0
dreamteam_count,0
selected_by_percent,3.4
total_points,59
ppg,3.1
minutes,968
goals_scored,2
assists,3
clean_sheets,6
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,8
bps,268
influence,301.4
creativity,562.3
threat,317.0
ict_index,117.9
ea_index,0
position,Midfielder
