entry,value
player_id,156
web_name,Baines
team,Huddersfield
first_name,Leighton
second_name,Baines
cost_end,5.0
value_form,0.0
value_season,1.4
cost_change_start,-5
cost_start,10.0
dreamteam_count,0
selected_by_percent,0.5
total_points,7
ppg,1.2
minutes,374
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,48
influence,48.4
creativity,91.4
threat,15.0
ict_index,15.4
ea_index,0
position,Defender
