entry,value
player_id,419
web_name,Chicharito
team,West Brom
first_name,Javier
second_name,Hernández Balcázar
cost_end,6.1
value_form,0.0
value_season,14.1
cost_change_start,-4
cost_start,10.1
dreamteam_count,2
selected_by_percent,1.5
total_points,86
ppg,3.4
minutes,1326
goals_scored,7
assists,4
clean_sheets,6
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,10
bps,276
influence,301.0
creativity,112.0
threat,528.0
ict_index,93.4
ea_index,0
position,Forward
