entry,value
player_id,417
web_name,Arnautovic
team,West Ham
first_name,Marko
second_name,Arnautovic
cost_end,6.7
value_form,1.2
value_season,17.5
cost_change_start,-0.3
cost_start,7.0
dreamteam_count,3
selected_by_percent,6.7
total_points,117
ppg,4.2
minutes,1988
goals_scored,10
assists,5
clean_sheets,4
goals_conceded,34
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,15
bps,405
influence,551.6
creativity,500.6
threat,946.0
ict_index,199.2
ea_index,0
position,Forward
