entry,value
player_id,503
web_name,Montoya
team,Brighton
first_name,Martín
second_name,Montoya
cost_end,4.3
value_form,0.2
value_season,10.5
cost_change_start,-2
cost_start,6.3
dreamteam_count,0
selected_by_percent,0.2
total_points,45
ppg,1.8
minutes,2166
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,1
bps,351
influence,437.6
creativity,289.2
threat,58.0
ict_index,78.6
ea_index,0
position,Defender
