entry,value
player_id,170
web_name,Lookman
team,Everton
first_name,Ademola
second_name,Lookman
cost_end,4.9
value_form,0.4
value_season,6.9
cost_change_start,-0.6
cost_start,5.5
dreamteam_count,0
selected_by_percent,0.1
total_points,34
ppg,1.6
minutes,600
goals_scored,0
assists,3
clean_sheets,1
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,110
influence,131.4
creativity,172.1
threat,211.0
ict_index,51.6
ea_index,0
position,Midfielder
