entry,value
player_id,116
web_name,David Luiz
team,Chelsea
first_name,David
second_name,Luiz Moreira Marinho
cost_end,5.8
value_form,1.0
value_season,28.3
cost_change_start,0.3
cost_start,5.5
dreamteam_count,4
selected_by_percent,11.7
total_points,164
ppg,4.6
minutes,3238
goals_scored,3
assists,2
clean_sheets,16
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,19
bps,794
influence,859.0
creativity,358.7
threat,363.0
ict_index,158.0
ea_index,0
position,Defender
