entry,value
player_id,185
web_name,Johansen
team,Fulham
first_name,Stefan
second_name,Johansen
cost_end,5.0
value_form,0.0
value_season,2.2
cost_change_start,-0.5
cost_start,5.5
dreamteam_count,0
selected_by_percent,0.0
total_points,11
ppg,0.9
minutes,409
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,0
bps,48
influence,48.8
creativity,33.0
threat,7.0
ict_index,9.0
ea_index,0
position,Midfielder
