entry,value
player_id,195
web_name,Zanka
team,Liverpool
first_name,Mathias
second_name,Jorgensen
cost_end,4.4
value_form,0.0
value_season,15.2
cost_change_start,-1
cost_start,5.4
dreamteam_count,0
selected_by_percent,2.3
total_points,67
ppg,2.8
minutes,2147
goals_scored,3
assists,1
clean_sheets,3
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,4
bps,402
influence,544.2
creativity,103.7
threat,169.0
ict_index,81.9
ea_index,0
position,Defender
