entry,value
player_id,292
web_name,Lindelöf
team,Southampton
first_name,Victor
second_name,Lindelöf
cost_end,4.9
value_form,0.3
value_season,17.3
cost_change_start,-1
cost_start,5.9
dreamteam_count,1
selected_by_percent,5.2
total_points,85
ppg,2.8
minutes,2600
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,40
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,9
bps,527
influence,533.0
creativity,75.3
threat,118.0
ict_index,72.8
ea_index,0
position,Defender
