entry,value
player_id,359
web_name,Sánchez
team,Spurs
first_name,Davinson
second_name,Sánchez
cost_end,5.8
value_form,0.2
value_season,13.4
cost_change_start,-2
cost_start,7.8
dreamteam_count,1
selected_by_percent,1.6
total_points,78
ppg,3.4
minutes,1941
goals_scored,1
assists,2
clean_sheets,6
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,4
bps,412
influence,454.2
creativity,60.3
threat,183.0
ict_index,70.0
ea_index,0
position,Defender
