entry,value
player_id,482
web_name,Schär
team,Newcastle
first_name,Fabian
second_name,Schär
cost_end,4.5
value_form,1.3
value_season,20.7
cost_change_start,-0.5
cost_start,5.0
dreamteam_count,3
selected_by_percent,1.3
total_points,93
ppg,3.9
minutes,2000
goals_scored,4
assists,1
clean_sheets,7
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,12
red_cards,0
saves,0
bonus,9
bps,403
influence,669.4
creativity,148.6
threat,220.0
ict_index,103.8
ea_index,0
position,Defender
